ICD10;Tekst
T539;Toks. virk. uspes. hal.der. av alif. og arom. hydrokarboner
T540;Toksisk virkning av fenol og fenolhomologer
T541;Toksisk virkning av andre etsende organiske forbindelser
T542;Toksisk virkning av etsende syrer og syrelignende stoffer
T543;Toks. virk. av etsende alkalier og alkalielignende stoffer
T549;Toksisk virkning av uspesifisert etsende stoff
T55;Toksisk virkning av såper og rengjøringsmidler
T560;Toksisk virkning av bly og blyforbindelser
T561;Toksisk virkning av kvikksølv og kvikksølvforbindelser
T562;Toksisk virkning av krom og kromforbindelser
T563;Toksisk virkning av kadmium og kadmiumforbindelser
T564;Toksisk virkning av kopper og kopperforbindelser
T565;Toksisk virkning av sink og sinkforbindelser
T566;Toksisk virkning av tinn og tinnforbindelser
T567;Toksisk virkning av beryllium og berylliumforbindelser
T568;Toksisk virkning av andre spesifiserte metaller
T569;Toksisk virkning av uspesifisert metall
T570;Toksisk virkning av arsen og arsenforbindelser
T571;Toksisk virkning av fosfor og fosforforbindelser
T572;Toksisk virkning av mangan og manganforbindelser
T573;Toksisk virkning av hydrogencyanid
T578;Toksisk virkning av andre spesifiserte uorganiske stoffer
T579;Toksisk virkning av uspesifisert uorganisk stoff
T58;Toksisk virkning av karbonmonoksid
T590;Toksisk virkning av nitrogenoksid
T591;Toksisk virkning av svoveldioksid
T592;Toksisk virkning av formaldehyd
T593;Toksisk virkning av lakrimogen gass
T594;Toksisk virkning av klorgass
T595;Toksisk virkning av fluorgass og flussyre
T596;Toksisk virkning av hydrogensulfid
T597;Toksisk virkning av karbondioksid
T598;Toksisk virkning av annen spesifisert gass, røyk og damp
T599;Toksisk virkning av uspesifisert gass, røyk og damp
T600;Toksisk virk. av insekticider med organofosfat og karbamat
T601;Toksisk virkning av halogenerte insekticider
T602;Toksisk virkning av andre og uspesifiserte insekticider
T603;Toksisk virkning av herbicider og fungicider
T604;Toksisk virkning av rodenticider
T608;Toksisk virkning av andre spesifiserte pesticider
T609;Toksisk virkning av uspesifisert pesticid
T610;Toksisk virkning av ciguatera
T611;Forgiftning med makrellfisk
T612;Annen fiske- og skalldyrforgiftning
T618;Toksisk virkning av annen spesifisert sjømat
T619;Toksisk virkning av uspesifisert sjømat
T620;Toksisk virkning av fortært sopp
T621;Toksisk virkning av fortærte bær
T622;Toksisk virkning av annen fortært (del av) plante
T628;Toks. virk. av andre spes. skadelige stoffer spist som mat
T629;Toksisk virkning av uspes. skadelig stoff spist som mat
T630;Toksisk virkning av slangegift
T631;Toksisk virkning av gift fra andre krypdyr
T632;Toksisk virkning av skorpiongift
T633;Toksisk virkning av edderkoppgift
T634;Toksisk virkning av gift fra andre artropoder
T635;Toksisk virkning av kontakt med fisk
T636;Toksisk virkning av kontakt med andre sjødyr
T638;Toksisk virkning av kontakt med andre spes. giftige dyr
T639;Toksisk virkning av kontakt med uspesifisert giftig dyr
T64;Toks. virk. aflatoksin og a. mykotoks. som forurenser matv.
T650;Toksisk virkning av cyanider
T651;Toksisk virkning av stryknin og dets salter
T652;Toksisk virkning av tobakk og nikotin
T653;Toks. virk. nitroder. og aminoder. av benzen/dets homologer
T654;Toksisk virkning av karbondisulfid
T655;Toks. virk. av nitroglyserin o. a. nitrogensyrer og -estere
T656;Toksisk virkning av maling og fargestoffer IKAS
T658;Toksisk virkning av andre spesifiserte stoffer
T659;Toksisk virkning av uspesifisert stoff
T66;Uspesifiserte tilstander som skyldes stråling
T670;Heteslag og solstikk
T671;Besvimelse forårsaket av varme
T672;Hetekramper
T673;Varmeutmattelse som skyldes væsketap
T674;Varmeutmattelse som skyldes salttap
T675;Uspesifisert varmeutmattelse
T676;Forbigående tretthet som skyldes varme
T677;Varmeødem
T678;Andre spes. tilstander som sk. påvirkning av varme og lys
T679;Uspesifisert tilstand som skyldes påvirkning av varme og lys
T68;Hypotermi
T690;Immersjonshånd og -fot
T691;Frostknuter
T698;Andre spes. tilst. som skyldes nedsatt omgivelsestemperatur
T699;Uspes. tilstand som skyldes nedsatt omgivelsestemperatur
T700;Otittisk barotraume
T701;Barotraume i bihuler
T702;Andre og uspesifiserte virkninger av stor høyde over havet
T703;Trykkfallsyke
T704;Virkninger av høytrykksvæsker
T708;Andre spesifiserte virkninger av lufttrykk og vanntrykk
T709;Uspesifisert virkning av lufttrykk og vanntrykk
T71;Asfyksi
T730;Virkninger av hunger
T731;Virkninger av tørste
T732;Utmattelse på grunn av klimatiske påkjenninger
T733;Utmattelse på grunn av overdreven anstrengelse
T738;Andre spesifiserte deprivasjonseffekter
T739;Uspesifisert deprivasjonseffekt
T740;Vanskjøtsel
T741;Fysisk mishandling
T742;Seksuell mishandling
T743;Psykisk mishandling
T748;Andre spesifiserte mishandlingssyndromer
T749;Uspesifisert mishandlingssyndrom
T750;Virkninger av lynnedslag
T751;Drukning og nestendrukning
T752;Virkninger av vibrasjon
T753;Bevegelsessyke
T754;Skadevirkninger av elektrisk kraft
T758;Andre spesifiserte skadevirkninger av annen ytre påvirkning
T76;Uspesifiserte virkninger av ytre årsaker
T780;Anafylaktisk sjokk som skyldes reaksjon på matvarer
T781;Andre reaksjoner på matvarer, ikke klassifisert annet sted
T782;Uspesifisert anafylaktisk sjokk
T783;Angionevrotisk ødem
T784;Uspesifisert allergi
T788;Andre spesifiserte skadevirkninger IKAS
T789;Uspesifisert skadevirkning
T790;Luftemboli (traumatisk)
T791;Fettemboli (traumatisk)
T792;Traumatisk sekundær eller residiverende blødning
T793;Posttraumatisk sårinfeksjon, ikke klassifisert annet sted
T794;Traumatisk sjokk
T795;Traumatisk anuri
T796;Traumatisk iskemi i muskel
T797;Traumatisk subkutant emfysem
T798;Andre spesifiserte tidlige komplikasjoner til traume
T799;Uspesifisert tidlig komplikasjon til traume
T800;Luftemboli etter infusjon/transfusjon/terapeutisk injeksjon
T801;Komp. i b.kar etter infusjon/transfusjon/terapeutisk injek.
T802;Infek. etter infusjon, transfusjon og terapeutisk injeksjon
T803;ABO-uforlikelighetsreaksjon
T804;Rh-uforlikelighetsreaksjon
T805;Anafylaktisk sjokk som skyldes serumbehandling
T806;Andre serumreaksjoner
T808;Andre spes. komp. etter infusjon/transfusjon/ter. injeksjon
T809;Ikke spes. komp. etter infusjon/transfusjon/ter. injeksjon
T810;Blødning og hematom som komplik. til kir. og med. pros. IKAS
T811;Sjokk under eller som følge av kirurgiske og med. pros. IKAS
T812;Utilsiktet punksjon og laserasjon under kir./med. pros. IKAS
T813;Sårruptur, ikke klassifisert annet sted
T814;Infeksjon etter kirurgiske og medisinske prosedyrer, IKAS
T815;Fr.leg. utils. etterlatt i kroppshule/op.sår e. kir/med.pros
T816;Ak. reak. mot fremmed stoff utils.etterl. under kir/med.pros
T817;Komplikasjoner i blodkar etter kirurgiske og med. pros. IKAS
T818;Andre spes. komplikasjoner til kir. og med. pros. IKAS
T819;Uspes. komplikasjon til kirurgiske og medisinske prosedyrer
T820;Mekaniske komplikasjoner ved hjerteklaffprotese
T821;Mekaniske komplikasjoner av elektronisk hjertestimulator
T822;Mek. komp. ved koronarart.bypass el. klaffebærende transpl.
T823;Mekaniske komplikasjoner ved andre kartransplantater
T824;Mekaniske komplikasjoner ved dialysekateter i blodkar
T825;Mek. komp. ved a. innretninger/implantater i hjerte/blodkar
T826;Infeksjon og bet.reak. som skyldes hjerteklaffprotese
T827;Infek./bet.reak., a. innretn./impl./transpl. i hjerte/b.kar
T828;Andre spes. komp., prot./impl./transpl. i hjerte og blodkar
T829;Ikke spes. komp., prot./impl./transpl. i hjerte og blodkar
T830;Mekaniske komplikasjoner ved kateter (inne) i urinveier
T831;Mek. komp. ved andre innretninger og implantater i urinveier
T832;Mekaniske komplikasjoner ved urinorgantransplantat
T833;Mekaniske komplikasjoner ved intrauterint prevensjonsmiddel
T834;Mek. komp. ved andre prot./impl./transpl. i kjønnsorganer
T835;Infek./bet.reak. s. sk. prot./impl./transpl. i urinveier
T836;Infek./bet.reak. s. sk. prot./impl./transpl. i kjønnsorganer
T838;Andre spes. komp. ved prot./impl./transpl., kj.org./u.veier
T839;Uspes. komp. ved prot./impl./transpl. i kj.org. og urinveier
T840;Mekaniske komplikasjoner ved innvendig leddprotese
T841;Mek. komp. ved innv. fiks.anordn. for knokler i ekstremitet
T842;Mek. komp. ved innv. fiksasjonsanordning for andre knokler
T843;Mek. komp. ved andre innretn./impl./transpl. i knokkel
T844;Mek. komp. ved andre innv. ortopediske prot./impl./transpl.
T845;Infek. og bet.reak. som skyldes innvendig leddprotese
T846;Infek. og bet.reak. som skyldes innv. fiksasjonsanordning
T847;Infek./bet.reak. s. sk. a. innv. ortop. prot./impl./transpl.
T848;Andre spes. komp. ved innvendig ortop. prot./impl./transpl.
T849;Uspes. komp. ved innvendig ortopedisk prot./impl./transpl.
T850;Mekanisk komplikasjon til shunt fra hjerneventrikkel
T851;Mek. komp. ved impl. elektronisk stimulator i nervesystemet
T852;Mekaniske komplikasjoner ved kunstig linse
T853;Mek. komp. ved a. proteser/implantater/transplantater i øye
T854;Mekaniske komplikasjoner ved brystprotese og -implantat
T855;Mek. komp. ved prot./impl./transpl. i fordøyelsesorganer
T856;Mek. komp. ved andre spes. innvendige prot./impl./transpl.
T857;Infek. og bet.reak. s. sk. andre innv. prot./impl./transpl.
T858;Andre spes. komp. ved innv. prot./impl./transpl. IKAS
T859;Uspes. komp. ved innvendig protese/implantat/transplantat
T860;Transplantat-mot-vert-sykdom
T861;Funksjonssvikt og avstøting av nyretransplantat
T862;Funksjonssvikt og avstøting av hjertetransplantat
T863;Funksjonssvikt og avstøting av hjerte-lunge-transplantat
T864;Funksjonssvikt og avstøting av levertransplantat
T868;Funksjonssv. og avstøting av andre spes. transpl. org./vev
T869;Funksjonssv. og avstøting av uspes. transpl. organ og vev
T870;Komp. ved reimplantasjon av (del av) overekstremitet
T871;Komp. ved reimplantasjon av (del av) underekstremitet
T872;Komplikasjoner ved reimplantasjon av annen kroppsdel
T873;Amputasjonsnevrom
T874;Infeksjon i amputasjonsstump
T875;Nekrose i amputasjonsstump
T876;Andre og uspesifiserte komplikasjoner i amputasjonsstump
T880;Infeksjon etter vaksinasjon
T881;Andre komplikasjoner etter vaksinasjon IKAS
T882;Sjokk som skyldes anestesi
T883;Ondartet hypertermi som skyldes anestesi
T884;Mislykket eller vanskelig intubasjon
T885;Andre komplikasjoner ved anestesi
T886;Anafyl. sjokk s.sk. bivirk. av riktig legem. i ter. dose
T888;Andre spes. komp. til kirurgisk og medisinsk behandling IKAS
T889;Ikke spes. komp. til kirurgisk og medisinsk behandling
T900;Følgetilstander etter overflateskade på hode
T901;Følgetilstander etter åpent sår i hode
T902;F.tilst. etter brudd på hjerneskalle og ansiktsknokler
T903;Følgetilstander etter skade på hjernenerver
T904;Følgetilstander etter skade på øye og øyehule
T905;Følgetilstander etter intrakraniell skade
T908;Følgetilstander etter andre spesifiserte hodeskader
T909;Følgetilstander etter uspesifisert hodeskade
T910;F.tilst. e. overflateskade og åpent sår på hals og trunkus
T911;Følgetilstander etter brudd i ryggsøyle
T912;Følgetilstander etter annet brudd i brystkasse og bekken
T913;Følgetilstander etter skade på ryggmarg
T914;Følgetilstander etter skade i intratorakale organer
T915;F.tilst. etter skade i organer i bukhule og bekkenorganer
T918;F.tilst. etter andre spesifiserte skader på hals og trunkus
T919;Følgetilstander etter uspesifisert skade på hals og trunkus
T920;Følgetilstander etter åpent sår på overekstremitet
T921;Følgetilstander etter brudd i arm
T922;Følgetilstander etter brudd i håndledds- og håndregionen
T923;F.tilst. etter dislokasjon/forstuving/forstrekking av o.eks.
T924;Følgetilstander etter skade på nerve i overekstremitet
T925;Følgetilstander etter skade i muskel og sene i o.eks.
T926;F.tilst. etter knusningsskade og traum. amp. av o.eks.
T928;Følgetilstander etter andre spes. skader i overekstremitet
T929;Følgetilstander etter uspesifisert skade i overekstremitet
T930;Følgetilstander etter åpent sår på underekstremitet
T931;Følgetilstander etter brudd i lårben
T932;Følgetilstander etter andre brudd i underekstremitet
T933;F.tilst. etter dislok./forstuv./forstrekk. av u.eks.
T934;Følgetilstander etter skade på nerve i underekstremitet
T935;Følgetilstander etter skade i muskel og sene i u.eks.
T936;F.tilst. etter knusningsskade og traum. amp. av u.eks.
T938;Følgetilstander etter andre spesifiserte skader i u.eks.
T939;Følgetilstander etter uspesifisert skade i underekstremitet
T940;Følgetilstander etter skader som omfatter flere kroppsreg.
T941;Følgetilstander etter skader, ikke spes. etter kroppsregion
T950;F.tilst. etter brann-, etse- og frostskade på hode og hals
T951;F.tilst. etter brann-, etse- og frostskade på trunkus
T952;Følgetilstander etter brann-, etse- og frostskade på o.eks.
T953;Følgetilstander etter brann-, etse- og frostskade på u.eks.
T954;F.tilst. br.-/etsesk. kun kl. e. str. på berørt kr.overfl.
T958;Følgetilstander etter annen spes. brann-/etse- og frostskade
T959;Følgetilstander etter uspes. brann-/etse- og frostskade
T96;F.tilst. etter forgiftning med legem./biologiske substanser
T97;F.tilst. toksisk virkn. av subst. med hoveds. ikke-med. anv.
T980;F.tilst. etter fr.leg. trengt inn gjennom naturlig åpning
T981;Følgetilstander etter andre og uspes. ytre påvirkninger
T982;Følgetilstander etter visse tidlige komp. til traume
T983;F.tilst. e. komp. til kir. og medisinsk behandling IKAS
U049;Alvorlig, akutt luftveissyndrom (sars), uspesifisert
U070;Forstyrrelse relatert til bruk av e-sigarett
U071;Covid-19 med påvist virus
U072;Covid-19 uten påvist virus
U073;Bruk av U07.3 for beredskapsformål
U074;Bruk av U07.4 for beredskapsformål
U075;Bruk av U07.5 for beredskapsformål
U076;Bruk av U07.6 for beredskapsformål
U077;Bruk av U07.7 for beredskapsformål
U078;Bruk av U07.8 for beredskapsformål
U079;Bruk av U07.9 for beredskapsformål
U820;Resistens mot penicillin
U821;Resistens mot methicillin
U822;Ekstendert spektrum betalaktamaseresistens (ESBL)
U828;Resistens mot andre betalaktamantibiotika
U829;Resistens mot uspesifiserte betalaktamantibiotika
U830;Resistens mot vancomycin
U831;Resistens mot andre vancomycinrelaterte antibiotika
U832;Resistens mot kinoloner
U837;Resistens mot multiple antibiotika
U838;Resistens mot annet spesifisert enkeltantibiotikum
U839;Resistens mot uspesifisert antibiotikum
U840;Resistens mot antiparasittmiddel
U841;Resistens mot antimykotisk legemiddel
U842;Resistens mot antiviralt legemiddel
U843;Resistens mot tuberkulostatikum
U847;Resistens mot multiple antimikrobielle legemidler
U848;Resistens mot annet spesifisert antimikrobielt legemiddel
U849;Resistens mot uspesifisert antimikrobielt legemiddel
U85;Resistens mot antineoplastiske legemidler
V0n0a;"Fotgjskad tr uly;bolig;Industri"
V0n0b;"Fotgjskad tr uly;bolig;Bygg/anl"
V0n0c;"Fotgjskad tr uly;bolig;Olje/gassutv"
V0n0d;"Fotgjskad tr uly;bolig;Jord/skogbr"
V0n0e;"Fotgjskad tr uly;bolig;Fiske/fangst"
V0n0f;"Fotgjskad tr uly;bolig;Forsvar"
V0n0g;"Fotgjskad tr uly;bolig;Politi/fengsel"
V0n0h;"Fotgjskad tr uly;bolig;Annen næring"
V0n0i;"Fotgjskad tr uly;bolig;Ukj/ikke spes næring"
V0n0j;"Fotgjskad tr uly;bolig;Utdann"
V0n0k;"Fotgjskad tr uly;bolig;Verneplikt"
V0n0m;"Fotgjskad tr uly;bolig;Idrett v/utd/vernepl"
V0n0p;"Fotgjskad tr uly;bolig;Annen idrett"
V0n0r;"Fotgjskad tr uly;bolig;Annen aktivitet"
V0n0y;"Fotgjskad tr uly;bolig;Ukjent aktivitet"
V0n1a;"Fotgjskad tr uly;veitrafikk;Industri"
V0n1b;"Fotgjskad tr uly;veitrafikk;Bygg/anl"
V0n1c;"Fotgjskad tr uly;veitrafikk;Olje/gassutv"
V0n1d;"Fotgjskad tr uly;veitrafikk;Jord/skogbr"
V0n1e;"Fotgjskad tr uly;veitrafikk;Fiske/fangst"
V0n1f;"Fotgjskad tr uly;veitrafikk;Forsvar"
V0n1g;"Fotgjskad tr uly;veitrafikk;Politi/fengsel"
V0n1h;"Fotgjskad tr uly;veitrafikk;Annen næring"
V0n1i;"Fotgjskad tr uly;veitrafikk;Ukj/ikke spes næring"
V0n1j;"Fotgjskad tr uly;veitrafikk;Utdann"
V0n1k;"Fotgjskad tr uly;veitrafikk;Verneplikt"
V0n1m;"Fotgjskad tr uly;veitrafikk;Idrett v/utd/vernepl"
V0n1p;"Fotgjskad tr uly;veitrafikk;Annen idrett"
V0n1r;"Fotgjskad tr uly;veitrafikk;Annen aktivitet"
V0n1y;"Fotgjskad tr uly;veitrafikk;Ukjent aktivitet"
V0n2a;"Fotgjskad tr uly;ann gt/vei;Industri"
V0n2b;"Fotgjskad tr uly;ann gt/vei;Bygg/anl"
V0n2c;"Fotgjskad tr uly;ann gt/vei;Olje/gassutv"
V0n2d;"Fotgjskad tr uly;ann gt/vei;Jord/skogbr"
V0n2e;"Fotgjskad tr uly;ann gt/vei;Fiske/fangst"
V0n2f;"Fotgjskad tr uly;ann gt/vei;Forsvar"
V0n2g;"Fotgjskad tr uly;ann gt/vei;Politi/fengsel"
V0n2h;"Fotgjskad tr uly;ann gt/vei;Annen næring"
V0n2i;"Fotgjskad tr uly;ann gt/vei;Ukj/ikke spes næring"
V0n2j;"Fotgjskad tr uly;ann gt/vei;Utdann"
V0n2k;"Fotgjskad tr uly;ann gt/vei;Verneplikt"
V0n2m;"Fotgjskad tr uly;ann gt/vei;Idrett v/utd/vernepl"
V0n2p;"Fotgjskad tr uly;ann gt/vei;Annen idrett"
V0n2r;"Fotgjskad tr uly;ann gt/vei;Annen aktivitet"
V0n2y;"Fotgjskad tr uly;ann gt/vei;Ukjent aktivitet"
V0n3a;"Fotgjskad tr uly;barneh/lekepl;Industri"
V0n3b;"Fotgjskad tr uly;barneh/lekepl;Bygg/anl"
V0n3c;"Fotgjskad tr uly;barneh/lekepl;Olje/gassutv"
V0n3d;"Fotgjskad tr uly;barneh/lekepl;Jord/skogbr"
V0n3e;"Fotgjskad tr uly;barneh/lekepl;Fiske/fangst"
V0n3f;"Fotgjskad tr uly;barneh/lekepl;Forsvar"
V0n3g;"Fotgjskad tr uly;barneh/lekepl;Politi/fengsel"
V0n3h;"Fotgjskad tr uly;barneh/lekepl;Annen næring"
V0n3i;"Fotgjskad tr uly;barneh/lekepl;Ukj/ikke spes næring"
V0n3j;"Fotgjskad tr uly;barneh/lekepl;Utdann"
V0n3k;"Fotgjskad tr uly;barneh/lekepl;Verneplikt"
V0n3m;"Fotgjskad tr uly;barneh/lekepl;Idrett v/utd/vernepl"
V0n3p;"Fotgjskad tr uly;barneh/lekepl;Annen idrett"
V0n3r;"Fotgjskad tr uly;barneh/lekepl;Annen aktivitet"
V0n3y;"Fotgjskad tr uly;barneh/lekepl;Ukjent aktivitet"
V0n4a;"Fotgjskad tr uly;skole m.v;Industri"
V0n4b;"Fotgjskad tr uly;skole m.v;Bygg/anl"
V0n4c;"Fotgjskad tr uly;skole m.v;Olje/gassutv"
V0n4d;"Fotgjskad tr uly;skole m.v;Jord/skogbr"
V0n4e;"Fotgjskad tr uly;skole m.v;Fiske/fangst"
V0n4f;"Fotgjskad tr uly;skole m.v;Forsvar"
V0n4g;"Fotgjskad tr uly;skole m.v;Politi/fengsel"
V0n4h;"Fotgjskad tr uly;skole m.v;Annen næring"
V0n4i;"Fotgjskad tr uly;skole m.v;Ukj/ikke spes næring"
V0n4j;"Fotgjskad tr uly;skole m.v;Utdann"
V0n4k;"Fotgjskad tr uly;skole m.v;Verneplikt"
V0n4m;"Fotgjskad tr uly;skole m.v;Idrett v/utd/vernepl"
V0n4p;"Fotgjskad tr uly;skole m.v;Annen idrett"
V0n4r;"Fotgjskad tr uly;skole m.v;Annen aktivitet"
V0n4y;"Fotgjskad tr uly;skole m.v;Ukjent aktivitet"
V0n5a;"Fotgjskad tr uly;h-inst/sykehus;Industri"
V0n5b;"Fotgjskad tr uly;h-inst/sykehus;Bygg/anl"
V0n5c;"Fotgjskad tr uly;h-inst/sykehus;Olje/gassutv"
V0n5d;"Fotgjskad tr uly;h-inst/sykehus;Jord/skogbr"
V0n5e;"Fotgjskad tr uly;h-inst/sykehus;Fiske/fangst"
V0n5f;"Fotgjskad tr uly;h-inst/sykehus;Forsvar"
V0n5g;"Fotgjskad tr uly;h-inst/sykehus;Politi/fengsel"
V0n5h;"Fotgjskad tr uly;h-inst/sykehus;Annen næring"
V0n5i;"Fotgjskad tr uly;h-inst/sykehus;Ukj/ikke spes næring"
V0n5j;"Fotgjskad tr uly;h-inst/sykehus;Utdann"
V0n5k;"Fotgjskad tr uly;h-inst/sykehus;Verneplikt"
V0n5m;"Fotgjskad tr uly;h-inst/sykehus;Idrett v/utd/vernepl"
V0n5p;"Fotgjskad tr uly;h-inst/sykehus;Annen idrett"
V0n5r;"Fotgjskad tr uly;h-inst/sykehus;Annen aktivitet"
V0n5y;"Fotgjskad tr uly;h-inst/sykehus;Ukjent aktivitet"
V0n6a;"Fotgjskad tr uly;syke/aldershjem;Industri"
V0n6b;"Fotgjskad tr uly;syke/aldershjem;Bygg/anl"
V0n6c;"Fotgjskad tr uly;syke/aldershjem;Olje/gassutv"
V0n6d;"Fotgjskad tr uly;syke/aldershjem;Jord/skogbr"
V0n6e;"Fotgjskad tr uly;syke/aldershjem;Fiske/fangst"
V0n6f;"Fotgjskad tr uly;syke/aldershjem;Forsvar"
V0n6g;"Fotgjskad tr uly;syke/aldershjem;Politi/fengsel"
V0n6h;"Fotgjskad tr uly;syke/aldershjem;Annen næring"
V0n6i;"Fotgjskad tr uly;syke/aldershjem;Ukj/ikke spes næring"
V0n6j;"Fotgjskad tr uly;syke/aldershjem;Utdann"
V0n6k;"Fotgjskad tr uly;syke/aldershjem;Verneplikt"
V0n6m;"Fotgjskad tr uly;syke/aldershjem;Idrett v/utd/vernepl"
V0n6p;"Fotgjskad tr uly;syke/aldershjem;Annen idrett"
V0n6r;"Fotgjskad tr uly;syke/aldershjem;Annen aktivitet"
V0n6y;"Fotgjskad tr uly;syke/aldershjem;Ukjent aktivitet"
V0n7a;"Fotgjskad tr uly;idrettsanl;Industri"
V0n7b;"Fotgjskad tr uly;idrettsanl;Bygg/anl"
V0n7c;"Fotgjskad tr uly;idrettsanl;Olje/gassutv"
V0n7d;"Fotgjskad tr uly;idrettsanl;Jord/skogbr"
V0n7e;"Fotgjskad tr uly;idrettsanl;Fiske/fangst"
V0n7f;"Fotgjskad tr uly;idrettsanl;Forsvar"
V0n7g;"Fotgjskad tr uly;idrettsanl;Politi/fengsel"
V0n7h;"Fotgjskad tr uly;idrettsanl;Annen næring"
V0n7i;"Fotgjskad tr uly;idrettsanl;Ukj/ikke spes næring"
V0n7j;"Fotgjskad tr uly;idrettsanl;Utdann"
V0n7k;"Fotgjskad tr uly;idrettsanl;Verneplikt"
V0n7m;"Fotgjskad tr uly;idrettsanl;Idrett v/utd/vernepl"
V0n7p;"Fotgjskad tr uly;idrettsanl;Annen idrett"
V0n7r;"Fotgjskad tr uly;idrettsanl;Annen aktivitet"
V0n7y;"Fotgjskad tr uly;idrettsanl;Ukjent aktivitet"
V0n8a;"Fotgjskad tr uly;friluftsliv;Industri"
V0n8b;"Fotgjskad tr uly;friluftsliv;Bygg/anl"
V0n8c;"Fotgjskad tr uly;friluftsliv;Olje/gassutv"
V0n8d;"Fotgjskad tr uly;friluftsliv;Jord/skogbr"
V0n8e;"Fotgjskad tr uly;friluftsliv;Fiske/fangst"
V0n8f;"Fotgjskad tr uly;friluftsliv;Forsvar"
V0n8g;"Fotgjskad tr uly;friluftsliv;Politi/fengsel"
V0n8h;"Fotgjskad tr uly;friluftsliv;Annen næring"
V0n8i;"Fotgjskad tr uly;friluftsliv;Ukj/ikke spes næring"
V0n8j;"Fotgjskad tr uly;friluftsliv;Utdann"
V0n8k;"Fotgjskad tr uly;friluftsliv;Verneplikt"
V0n8m;"Fotgjskad tr uly;friluftsliv;Idrett v/utd/vernepl"
V0n8p;"Fotgjskad tr uly;friluftsliv;Annen idrett"
V0n8r;"Fotgjskad tr uly;friluftsliv;Annen aktivitet"
V0n8y;"Fotgjskad tr uly;friluftsliv;Ukjent aktivitet"
V0n9a;"Fotgjskad tr uly;annet sted;Industri"
V0n9b;"Fotgjskad tr uly;annet sted;Bygg/anl"
V0n9c;"Fotgjskad tr uly;annet sted;Olje/gassutv"
V0n9d;"Fotgjskad tr uly;annet sted;Jord/skogbr"
V0n9e;"Fotgjskad tr uly;annet sted;Fiske/fangst"
V0n9f;"Fotgjskad tr uly;annet sted;Forsvar"
V0n9g;"Fotgjskad tr uly;annet sted;Politi/fengsel"
V0n9h;"Fotgjskad tr uly;annet sted;Annen næring"
V0n9i;"Fotgjskad tr uly;annet sted;Ukj/ikke spes næring"
V0n9j;"Fotgjskad tr uly;annet sted;Utdann"
V0n9k;"Fotgjskad tr uly;annet sted;Verneplikt"
V0n9m;"Fotgjskad tr uly;annet sted;Idrett v/utd/vernepl"
V0n9p;"Fotgjskad tr uly;annet sted;Annen idrett"
V0n9r;"Fotgjskad tr uly;annet sted;Annen aktivitet"
V0n9y;"Fotgjskad tr uly;annet sted;Ukjent aktivitet"
V0nxa;"Fotgjskad tr uly;ukjent sted;Industri"
V0nxb;"Fotgjskad tr uly;ukjent sted;Bygg/anl"
V0nxc;"Fotgjskad tr uly;ukjent sted;Olje/gassutv"
V0nxd;"Fotgjskad tr uly;ukjent sted;Jord/skogbr"
V0nxe;"Fotgjskad tr uly;ukjent sted;Fiske/fangst"
V0nxf;"Fotgjskad tr uly;ukjent sted;Forsvar"
V0nxg;"Fotgjskad tr uly;ukjent sted;Politi/fengsel"
V0nxh;"Fotgjskad tr uly;ukjent sted;Annen næring"
V0nxi;"Fotgjskad tr uly;ukjent sted;Ukj/ikke spes næring"
V0nxj;"Fotgjskad tr uly;ukjent sted;Utdann"
V0nxk;"Fotgjskad tr uly;ukjent sted;Verneplikt"
V0nxm;"Fotgjskad tr uly;ukjent sted;Idrett v/utd/vernepl"
V0nxp;"Fotgjskad tr uly;ukjent sted;Annen idrett"
V0nxr;"Fotgjskad tr uly;ukjent sted;Annen aktivitet"
V0nxy;"Fotgjskad tr uly;ukjent sted;Ukjent aktivitet"
V1n0a;"Sykl ska tr.uly;bolig;Industri"
V1n0b;"Sykl ska tr.uly;bolig;Bygg/anl"
V1n0c;"Sykl ska tr.uly;bolig;Olje/gassutv"
V1n0d;"Sykl ska tr.uly;bolig;Jord/skogbr"
V1n0e;"Sykl ska tr.uly;bolig;Fiske/fangst"
V1n0f;"Sykl ska tr.uly;bolig;Forsvar"
V1n0g;"Sykl ska tr.uly;bolig;Politi/fengsel"
V1n0h;"Sykl ska tr.uly;bolig;Annen næring"
V1n0i;"Sykl ska tr.uly;bolig;Ukj/ikke spes næring"
V1n0j;"Sykl ska tr.uly;bolig;Utdann"
V1n0k;"Sykl ska tr.uly;bolig;Verneplikt"
V1n0m;"Sykl ska tr.uly;bolig;Idrett v/utd/vernepl"
V1n0p;"Sykl ska tr.uly;bolig;Annen idrett"
V1n0r;"Sykl ska tr.uly;bolig;Annen aktivitet"
V1n0y;"Sykl ska tr.uly;bolig;Ukjent aktivitet"
V1n1a;"Sykl ska tr.uly;veitrafikk;Industri"
V1n1b;"Sykl ska tr.uly;veitrafikk;Bygg/anl"
V1n1c;"Sykl ska tr.uly;veitrafikk;Olje/gassutv"
V1n1d;"Sykl ska tr.uly;veitrafikk;Jord/skogbr"
V1n1e;"Sykl ska tr.uly;veitrafikk;Fiske/fangst"
V1n1f;"Sykl ska tr.uly;veitrafikk;Forsvar"
V1n1g;"Sykl ska tr.uly;veitrafikk;Politi/fengsel"
V1n1h;"Sykl ska tr.uly;veitrafikk;Annen næring"
V1n1i;"Sykl ska tr.uly;veitrafikk;Ukj/ikke spes næring"
